,type,Month,number,year,quarter
159,Electric,2014 Q3,132,2014, Q3
160,Electric,2014 Q2,2205,2014, Q2
161,Diesel-Electric (Plug-In),2014 Q2,14,2014, Q2
162,Petrol-Electric (Plug-In),2014 Q2,293,2014, Q2
163,Electric,2014 Q2,116,2014, Q2
164,Electric,2014 Q1,2062,2014, Q1
165,Diesel-Electric (Plug-In),2014 Q1,9,2014, Q1
166,Petrol-Electric (Plug-In),2014 Q1,244,2014, Q1
167,Electric,2014 Q1,76,2014, Q1
168,Electric,2013 Q4,1954,2013, Q4
169,Diesel-Electric (Plug-In),2013 Q4,4,2013, Q4
170,Petrol-Electric (Plug-In),2013 Q4,202,2013, Q4
171,Electric,2013 Q4,53,2013, Q4
172,Electric,2013 Q3,1869,2013, Q3
173,Diesel-Electric (Plug-In),2013 Q3,4,2013, Q3
174,Petrol-Electric (Plug-In),2013 Q3,172,2013, Q3
175,Electric,2013 Q3,50,2013, Q3
176,Electric,2013 Q2,1848,2013, Q2
177,Diesel-Electric (Plug-In),2013 Q2,1,2013, Q2
178,Petrol-Electric (Plug-In),2013 Q2,137,2013, Q2
179,Electric,2013 Q2,44,2013, Q2
180,Electric,2013 Q1,1828,2013, Q1
181,Diesel-Electric (Plug-In),2013 Q1,0,2013, Q1
182,Petrol-Electric (Plug-In),2013 Q1,116,2013, Q1
183,Electric,2013 Q1,36,2013, Q1
184,Electric,2012 Q4,1814,2012, Q4
185,Diesel-Electric (Plug-In),2012 Q4,0,2012, Q4
186,Petrol-Electric (Plug-In),2012 Q4,91,2012, Q4
187,Electric,2012 Q4,28,2012, Q4
188,Electric,2012 Q3,1788,2012, Q3
189,Diesel-Electric (Plug-In),2012 Q3,0,2012, Q3
190,Petrol-Electric (Plug-In),2012 Q3,69,2012, Q3
191,Electric,2012 Q3,24,2012, Q3
192,Electric,2012 Q2,1815,2012, Q2
193,Diesel-Electric (Plug-In),2012 Q2,0,2012, Q2
194,Petrol-Electric (Plug-In),2012 Q2,12,2012, Q2
195,Electric,2012 Q2,13,2012, Q2
196,Electric,2012 Q1,1813,2012, Q1
197,Diesel-Electric (Plug-In),2012 Q1,0,2012, Q1
198,Petrol-Electric (Plug-In),2012 Q1,9,2012, Q1
199,Electric,2012 Q1,0,2012, Q1
200,Electric,2011 Q4,1909,2011, Q4
201,Diesel-Electric (Plug-In),2011 Q4,0,2011, Q4
202,Petrol-Electric (Plug-In),2011 Q4,6,2011, Q4
203,Electric,2011 Q4,0,2011, Q4
204,Electric,2011 Q3,1913,2011, Q3
205,Diesel-Electric (Plug-In),2011 Q3,0,2011, Q3
206,Petrol-Electric (Plug-In),2011 Q3,6,2011, Q3
207,Electric,2011 Q3,0,2011, Q3
208,Electric,2011 Q2,1942,2011, Q2
209,Diesel-Electric (Plug-In),2011 Q2,0,2011, Q2
210,Petrol-Electric (Plug-In),2011 Q2,5,2011, Q2
211,Electric,2011 Q2,0,2011, Q2
212,Electric,2011 Q1,1991,2011, Q1
213,Diesel-Electric (Plug-In),2011 Q1,0,2011, Q1
214,Petrol-Electric (Plug-In),2011 Q1,6,2011, Q1
215,Electric,2011 Q1,0,2011, Q1
216,Electric,2010 Q4,1973,2010, Q4
217,Diesel-Electric (Plug-In),2010 Q4,0,2010, Q4
218,Petrol-Electric (Plug-In),2010 Q4,6,2010, Q4
219,Electric,2010 Q4,0,2010, Q4
220,Electric,2010 Q3,1959,2010, Q3
221,Diesel-Electric (Plug-In),2010 Q3,0,2010, Q3
222,Petrol-Electric (Plug-In),2010 Q3,6,2010, Q3
223,Electric,2010 Q3,0,2010, Q3
224,Electric,2010 Q2,1941,2010, Q2
225,Diesel-Electric (Plug-In),2010 Q2,0,2010, Q2
226,Petrol-Electric (Plug-In),2010 Q2,6,2010, Q2
227,Electric,2010 Q2,0,2010, Q2
228,Electric,2010 Q1,1873,2010, Q1
229,Diesel-Electric (Plug-In),2010 Q1,0,2010, Q1
230,Petrol-Electric (Plug-In),2010 Q1,7,2010, Q1
231,Electric,2010 Q1,0,2010, Q1
232,Electric,2009 Q4,1866,2009, Q4
233,Diesel-Electric (Plug-In),2009 Q4,0,2009, Q4
234,Petrol-Electric (Plug-In),2009 Q4,8,2009, Q4
235,Electric,2009 Q4,0,2009, Q4
